ID;aircraft_tailNumber;flightNumber;departure;arrival;scheduledDeparture;scheduledArrival;actualDeparture;actualArrival;status;estimatedFlightHours;maintenanceImpact;notes
f1a2b3c4-d5e6-f789-0abc-def123456789;SL001;SL101;JFK;LAX;2025-07-29T08:00:00Z;2025-07-29T11:30:00Z;2025-07-29T08:15:00Z;2025-07-29T11:45:00Z;Completed;5.50;false;On-time arrival
f2b3c4d5-e6f7-g890-1bcd-ef1234567890;SL001;SL102;LAX;JFK;2025-07-29T13:00:00Z;2025-07-29T21:30:00Z;2025-07-29T13:10:00Z;2025-07-29T21:40:00Z;Completed;5.50;false;Return flight completed
f3c4d5e6-f7g8-h901-2cde-f12345678901;SL002;SL201;BOS;MIA;2025-07-29T09:30:00Z;2025-07-29T12:45:00Z;2025-07-29T09:35:00Z;2025-07-29T12:50:00Z;Completed;3.25;false;Normal operations
f4d5e6f7-g8h9-i012-3def-123456789012;SL003;SL301;SFO;DEN;2025-07-29T07:00:00Z;2025-07-29T09:15:00Z;;2025-07-29T09:15:00Z;Cancelled;2.25;true;Aircraft in maintenance
f5e6f7g8-h9i0-j123-4ef1-234567890123;SL004;SL401;ORD;ATL;2025-07-29T14:20:00Z;2025-07-29T16:45:00Z;2025-07-29T14:25:00Z;2025-07-29T16:50:00Z;Completed;2.50;false;Smooth flight
f6f7g8h9-i0j1-k234-5f12-345678901234;SL005;SL501;MIA;JFK;2025-07-29T10:00:00Z;2025-07-29T12:30:00Z;;2025-07-29T12:30:00Z;Cancelled;2.50;true;Aircraft grounded for maintenance
f7g8h9i0-j1k2-l345-6123-456789012345;SL006;SL601;BOS;LAX;2025-07-29T15:45:00Z;2025-07-29T19:15:00Z;2025-07-29T15:50:00Z;;InFlight;5.50;false;Currently en route
f8h9i0j1-k2l3-m456-7234-567890123456;SL007;SL701;DEN;PHX;2025-07-29T11:30:00Z;2025-07-29T12:45:00Z;2025-07-29T11:40:00Z;2025-07-29T12:55:00Z;Completed;1.25;false;Short regional flight
f9i0j1k2-l3m4-n567-8345-678901234567;SL008;SL801;SEA;SFO;2025-07-29T16:00:00Z;2025-07-29T18:15:00Z;2025-07-29T16:05:00Z;;InFlight;2.25;false;West coast route
f0j1k2l3-m4n5-o678-9456-789012345678;SL009;SL901;ATL;MIA;2025-07-29T12:15:00Z;2025-07-29T14:30:00Z;;2025-07-29T14:30:00Z;Cancelled;2.25;true;Maintenance required
f1k2l3m4-n5o6-p789-0567-890123456789;SL010;SL1001;PHX;LAS;2025-07-29T17:30:00Z;2025-07-29T18:15:00Z;2025-07-29T17:35:00Z;2025-07-29T18:20:00Z;Completed;0.75;false;Quick desert hop
f2l3m4n5-o6p7-q890-1678-901234567890;SL011;SL1101;LAS;DEN;2025-07-29T19:00:00Z;2025-07-29T21:30:00Z;;2025-07-29T21:30:00Z;Scheduled;2.50;false;Evening departure
f3m4n5o6-p7q8-r901-2789-012345678901;SL012;SL1201;MCO;ATL;2025-07-29T08:45:00Z;2025-07-29T10:15:00Z;2025-07-29T08:50:00Z;2025-07-29T10:20:00Z;Completed;1.50;false;Florida to Georgia
f4n5o6p7-q8r9-s012-3890-123456789012;SL013;SL1301;DFW;IAH;2025-07-29T13:20:00Z;2025-07-29T14:15:00Z;2025-07-29T13:25:00Z;2025-07-29T14:20:00Z;Completed;1.00;false;Texas triangle
f5o6p7q8-r9s0-t123-4901-234567890123;SL014;SL1401;IAH;LAX;2025-07-29T20:00:00Z;2025-07-29T21:45:00Z;;2025-07-29T21:45:00Z;Scheduled;3.75;false;Cross-country red-eye
