ID;aircraft_tailNumber;alertType;severity;title;description;dueDate;status;assignedTo_ID;resolvedDate;resolution;createdAt;createdBy;modifiedAt;modifiedBy
a1b2c3d4-e5f6-7890-abcd-ef1234567890;SL005;PredictiveAlert;Critical;Multiple System Failures Detected;Aircraft SL005 shows multiple system alerts including engine parameters outside normal range and hydraulic pressure irregularities. Immediate grounding recommended.;2025-01-30;Open;t1k2l3m4-n5o6-p789-0567-890123456789;;Assigned to senior technician for immediate evaluation;2025-01-28T14:30:00Z;predictive_system;2025-01-28T14:30:00Z;predictive_system
a2c3d4e5-f6g7-8901-bcde-f12345678901;SL003;DueMaintenance;High;C-Check Due Soon;Aircraft SL003 is approaching its scheduled C-Check maintenance window. Current flight hours and cycles indicate maintenance should be scheduled within 2 weeks.;2025-02-15;Acknowledged;t3c4d5e6-f7g8-h901-2cde-f12345678901;;Maintenance scheduled for February 1st;2025-01-20T09:15:00Z;maintenance_scheduler;2025-01-22T10:00:00Z;david.johnson
a3d4e5f6-g7h8-9012-cdef-123456789012;SL017;OverdueMaintenance;High;B-Check Overdue;Aircraft SL017 has exceeded its B-Check maintenance interval by 150 flight hours. Immediate maintenance scheduling required.;2025-01-15;InProgress;t7g8h9i0-j1k2-l345-6123-456789012345;;Maintenance work in progress;2025-01-10T11:45:00Z;maintenance_scheduler;2025-02-01T08:00:00Z;robert.miller
a4e5f6g7-h8i9-0123-def1-234567890123;SL009;PredictiveAlert;Medium;Engine Performance Declining;Engine performance monitoring indicates declining efficiency in Engine #2. Recommend scheduling engine inspection within next maintenance window.;2025-02-20;Open;t8h9i0j1-k2l3-m456-7234-567890123456;;;2025-01-25T16:20:00Z;predictive_system;2025-01-25T16:20:00Z;predictive_system
a5f6g7h8-i9j0-1234-ef12-345678901234;SL001;DueMaintenance;Medium;A-Check Approaching;Aircraft SL001 is approaching its A-Check maintenance interval. Current flight hours: 4250. Schedule maintenance before reaching 4400 hours.;2025-02-10;Open;t1a2b3c4-d5e6-f789-0abc-def123456789;;;2025-01-22T13:30:00Z;maintenance_scheduler;2025-01-22T13:30:00Z;maintenance_scheduler
a6g7h8i9-j0k1-2345-f123-456789012345;SL007;PredictiveAlert;Medium;Landing Gear Wear Detected;Predictive analysis indicates increased wear on main landing gear components. Monitor closely and schedule maintenance if trend continues.;2025-02-28;Open;t9i0j1k2-l3m4-n567-8345-678901234567;;;2025-01-26T10:45:00Z;predictive_system;2025-01-26T10:45:00Z;predictive_system
a7h8i9j0-k1l2-3456-1234-567890123456;SL011;SafetyConcern;Medium;Cabin Pressure Sensor Alert;Cabin pressure sensors showing intermittent irregular readings. While within safety limits, monitoring and potential replacement recommended.;2025-02-05;Acknowledged;t4d5e6f7-g8h9-i012-3def-123456789012;;Sensor replacement work order created;2025-01-28T12:15:00Z;flight_operations;2025-01-30T14:20:00Z;sarah.wilson
a8i9j0k1-l2m3-4567-2345-678901234567;SL015;PredictiveAlert;Low;Fuel System Monitoring;Fuel consumption patterns show slight deviation from normal. Recommend installing additional monitoring sensors during next maintenance.;2025-03-15;Open;t4d5e6f7-g8h9-i012-3def-123456789012;;;2025-01-29T15:00:00Z;predictive_system;2025-01-29T15:00:00Z;predictive_system
a9j0k1l2-m3n4-5678-3456-789012345678;SL012;DueMaintenance;Low;Avionics Update Available;New avionics software update available for flight management system. Schedule during next maintenance window for improved performance.;2025-03-01;Open;t2b3c4d5-e6f7-g890-1bcd-ef1234567890;;;2025-01-27T11:30:00Z;maintenance_scheduler;2025-01-27T11:30:00Z;maintenance_scheduler
a0k1l2m3-n4o5-6789-4567-890123456789;SL019;PredictiveAlert;Low;Navigation System Check;Navigation system showing minor drift in GPS accuracy. Performance still within acceptable range but trending toward maintenance threshold.;2025-03-10;Open;t7g8h9i0-j1k2-l345-6123-456789012345;;;2025-01-31T09:45:00Z;predictive_system;2025-01-31T09:45:00Z;predictive_system
