ID;name;description;intervalHours;intervalDays;intervalCycles;estimatedDuration;requiredTechnicians;cost;priority
a1b2c3d4-e5f6-7890-abcd-ef1234567890;A-Check;Light maintenance check including visual inspection and minor repairs;400;60;200;8;2;15000.00;3
b2c3d4e5-f6g7-8901-bcde-f12345678901;B-Check;Intermediate maintenance check including systems testing and component replacement;800;120;400;24;4;45000.00;2
c3d4e5f6-g7h8-9012-cdef-123456789012;C-Check;Heavy maintenance check including structural inspection and major component overhaul;2000;365;1000;120;8;180000.00;1
d4e5f6g7-h8i9-0123-def1-234567890123;D-Check;Major overhaul including complete aircraft disassembly and reassembly;8000;1825;4000;720;15;800000.00;1
e5f6g7h8-i9j0-1234-ef12-345678901234;Line Maintenance;Daily pre-flight and post-flight inspections;50;1;25;2;1;2500.00;4
f6g7h8i9-j0k1-2345-f123-456789012345;Engine Overhaul;Complete engine removal and overhaul;4000;730;2000;240;6;350000.00;1
g7h8i9j0-k1l2-3456-1234-567890123456;Landing Gear Service;Landing gear inspection and hydraulic system maintenance;300;90;150;16;3;25000.00;2
h8i9j0k1-l2m3-4567-2345-678901234567;Avionics Update;Software updates and avionics system maintenance;100;30;50;6;2;8000.00;3
i9j0k1l2-m3n4-5678-3456-789012345678;Interior Refurbishment;Cabin interior maintenance and refurbishment;1000;180;500;40;5;65000.00;3
j0k1l2m3-n4o5-6789-4567-890123456789;Paint and Exterior;Aircraft exterior painting and corrosion treatment;2000;730;1000;80;4;120000.00;2
