ID;orderNumber;aircraft_tailNumber;maintenanceRecord_ID;title;description;priority;status;assignedTechnician_ID;estimatedHours;actualHours;scheduledStart;actualStart;scheduledEnd;actualEnd;cost;createdAt;createdBy;modifiedAt;modifiedBy
w1a2b3c4-d5e6-f789-0abc-def123456789;WO-2025-001;SL001;r1a2b3c4-d5e6-f789-0abc-def123456789;Engine Vibration Check;Investigate and resolve engine vibration issues during flight operations;Medium;Completed;t1a2b3c4-d5e6-f789-0abc-def123456789;8;8;2025-01-15T08:00:00Z;2025-01-15T08:00:00Z;2025-01-15T16:00:00Z;2025-01-15T16:00:00Z;14500.00;2025-01-10T10:00:00Z;system;2025-01-15T16:30:00Z;john.smith
w2b3c4d5-e6f7-g890-1bcd-ef1234567890;WO-2025-002;SL003;r2b3c4d5-e6f7-g890-1bcd-ef1234567890;Hydraulic System Overhaul;Complete hydraulic system inspection and repair due to pressure irregularities;High;InProgress;t3c4d5e6-f7g8-h901-2cde-f12345678901;120;72;2025-02-01T06:00:00Z;2025-02-01T06:00:00Z;2025-02-06T06:00:00Z;;175000.00;2025-01-25T14:00:00Z;system;2025-02-01T18:00:00Z;david.johnson
w3c4d5e6-f7g8-h901-2cde-f12345678901;WO-2025-003;SL005;r3c4d5e6-f7g8-h901-2cde-f12345678901;D-Check Major Overhaul;Complete aircraft disassembly and major overhaul due to multiple system alerts;Critical;Open;t1k2l3m4-n5o6-p789-0567-890123456789;720;0;2025-03-01T06:00:00Z;;2025-03-31T18:00:00Z;;750000.00;2025-02-20T09:00:00Z;system;2025-02-20T09:00:00Z;system
w4d5e6f7-g8h9-i012-3def-123456789012;WO-2025-004;SL009;r4d5e6f7-g8h9-i012-3def-123456789012;Daily Line Maintenance;Pre-flight inspection and routine maintenance checks;Low;Completed;t5e6f7g8-h9i0-j123-4ef1-234567890123;2;2;2025-01-20T07:00:00Z;2025-01-20T07:00:00Z;2025-01-20T09:00:00Z;2025-01-20T09:00:00Z;2400.00;2025-01-19T16:00:00Z;system;2025-01-20T09:30:00Z;michael.brown
w5e6f7g8-h9i0-j123-4ef1-234567890123;WO-2025-005;SL017;r5e6f7g8-h9i0-j123-4ef1-234567890123;B-Check Maintenance;Intermediate maintenance check including systems testing and component replacement;Medium;Open;t7g8h9i0-j1k2-l345-6123-456789012345;24;0;2025-02-15T06:00:00Z;;2025-02-16T06:00:00Z;;42000.00;2025-02-10T11:00:00Z;system;2025-02-10T11:00:00Z;system
w6f7g8h9-i0j1-k234-5f12-345678901234;WO-2025-006;SL002;r6f7g8h9-i0j1-k234-5f12-345678901234;Avionics Software Update;Update flight management system and navigation software;Medium;Completed;t2b3c4d5-e6f7-g890-1bcd-ef1234567890;6;6;2025-01-25T10:00:00Z;2025-01-25T10:00:00Z;2025-01-25T16:00:00Z;2025-01-25T16:00:00Z;7800.00;2025-01-22T13:00:00Z;system;2025-01-25T16:30:00Z;maria.rodriguez
w7g8h9i0-j1k2-l345-6123-456789012345;WO-2025-007;SL007;r7g8h9i0-j1k2-l345-6123-456789012345;Landing Gear Service;Inspect and service landing gear components and hydraulic systems;Medium;Assigned;t9i0j1k2-l3m4-n567-8345-678901234567;16;0;2025-02-05T08:00:00Z;;2025-02-06T00:00:00Z;;24500.00;2025-01-30T15:00:00Z;system;2025-01-30T15:00:00Z;system
w8h9i0j1-k2l3-m456-7234-567890123456;WO-2025-008;SL011;r8h9i0j1-k2l3-m456-7234-567890123456;Cabin Pressure System Check;Investigate and repair cabin pressure sensor irregularities;Medium;Assigned;t4d5e6f7-g8h9-i012-3def-123456789012;8;0;2025-02-10T09:00:00Z;;2025-02-10T17:00:00Z;;15200.00;2025-02-05T12:00:00Z;system;2025-02-05T12:00:00Z;system
w9i0j1k2-l3m4-n567-8345-678901234567;WO-2025-009;SL006;;Tire Replacement;Replace main landing gear tires due to wear indicators;Low;Open;t5o6p7q8-r9s0-t123-4901-234567890123;4;0;2025-02-12T10:00:00Z;;2025-02-12T14:00:00Z;;3200.00;2025-02-07T14:00:00Z;system;2025-02-07T14:00:00Z;system
w0j1k2l3-m4n5-o678-9456-789012345678;WO-2025-010;SL015;;Fuel System Monitoring;Install additional fuel system monitoring sensors;Medium;Assigned;t4d5e6f7-g8h9-i012-3def-123456789012;12;0;2025-02-14T08:00:00Z;;2025-02-15T08:00:00Z;;18500.00;2025-02-08T16:00:00Z;system;2025-02-08T16:00:00Z;system
